# element	name	version
freedesktop-sdk.bst-components-gstreamer-plugins-ugly.bst	gstreamer-plugins-ugly	
freedesktop-sdk.bst-components-gstreamer.bst	gstreamer	
freedesktop-sdk.bst-components-gtk-doc.bst	gtk-doc	
freedesktop-sdk.bst-components-gyp.bst	gyp	
freedesktop-sdk.bst-components-gzip.bst	gzip	
freedesktop-sdk.bst-components-harfbuzz.bst	harfbuzz	
freedesktop-sdk.bst-components-help2man.bst	help2man	
freedesktop-sdk.bst-components-hicolor-icon-theme.bst	hicolor-icon-theme	
freedesktop-sdk.bst-components-hidapi.bst	hidapi	
freedesktop-sdk.bst-components-highway.bst	highway	
freedesktop-sdk.bst-components-hotdoc.bst	hotdoc	
freedesktop-sdk.bst-components-hunspell.bst	hunspell	
freedesktop-sdk.bst-components-hwdata.bst	hwdata	
freedesktop-sdk.bst-components-hyphen.bst	hyphen	
freedesktop-sdk.bst-components-iana-config.bst	iana-config	
freedesktop-sdk.bst-components-icu.bst	icu	
freedesktop-sdk.bst-components-inih.bst	inih	
freedesktop-sdk.bst-components-iproute2.bst	iproute2	
freedesktop-sdk.bst-components-iptables.bst	iptables	
freedesktop-sdk.bst-components-iputils.bst	iputils	
freedesktop-sdk.bst-components-iso-codes.bst	iso-codes	
freedesktop-sdk.bst-components-itstool.bst	itstool	
freedesktop-sdk.bst-components-jansson.bst	jansson	
freedesktop-sdk.bst-components-jpeg.bst	jpeg	
freedesktop-sdk.bst-components-jq.bst	jq	
freedesktop-sdk.bst-components-json-c.bst	json-c	
freedesktop-sdk.bst-components-kbd.bst	kbd	
freedesktop-sdk.bst-components-keyutils.bst	keyutils	
freedesktop-sdk.bst-components-kmod.bst	kmod	
freedesktop-sdk.bst-components-ladspa-sdk.bst	ladspa-sdk	
freedesktop-sdk.bst-components-lame.bst	lame	
freedesktop-sdk.bst-components-lcms.bst	lcms	
freedesktop-sdk.bst-components-less.bst	less	
freedesktop-sdk.bst-components-libaio.bst	libaio	
freedesktop-sdk.bst-components-libapparmor.bst	libapparmor	
freedesktop-sdk.bst-components-libarchive.bst	libarchive	
freedesktop-sdk.bst-components-libassuan.bst	libassuan	
freedesktop-sdk.bst-components-libatasmart.bst	libatasmart	
freedesktop-sdk.bst-components-libavif.bst	libavif	
freedesktop-sdk.bst-components-libblockdev.bst	libblockdev	
freedesktop-sdk.bst-components-libbpf.bst	libbpf	
freedesktop-sdk.bst-components-libbytesize.bst	libbytesize	
freedesktop-sdk.bst-components-libcamera.bst	libcamera	
freedesktop-sdk.bst-components-libcap-ng.bst	libcap-ng	
freedesktop-sdk.bst-components-libcap.bst	libcap	
freedesktop-sdk.bst-components-libcbor.bst	libcbor	
freedesktop-sdk.bst-components-libcupsfilters.bst	libcupsfilters	
freedesktop-sdk.bst-components-libdaemon.bst	libdaemon	
freedesktop-sdk.bst-components-libdatrie.bst	libdatrie	
freedesktop-sdk.bst-components-libdbus.bst	libdbus	
freedesktop-sdk.bst-components-libdecor.bst	libdecor	
freedesktop-sdk.bst-components-libdevmapper.bst	libdevmapper	
